Timestamp,Station Name,Latitude,Longitude,AQI,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed,Air Quality Level
2025-04-24 09:00:00,"Gia Lai/Phù Đổng, Thành phố Pleiku - KTTV - Trạm cảm biến, Vietnam",13.968848,108.017617,46,46,45.0,19.0,113.0,5.0,43.0,23.0,86.9,925.6,2.0,Tốt
2025-05-06 20:00:00,"Nha Trang, Vietnam",12.284358,109.192524,40,40,27.0,7.0,12.0,11.0,,30.0,70.0,1008.0,1.2,Tốt
2025-05-08 11:00:00,"Vũng Tàu/Tiểu học Tóc Tiên - TX.Phú Mỹ, Vietnam",10.589853,107.131743,55,33,55.0,2.0,3.0,7.0,4.0,33.5,55.5,1008.0,4.1,Trung bình
2025-05-08 11:00:00,"Vũng Tàu/Ngã tư Giếng nước - Tp.Vũng Tàu, Vietnam",10.367976,107.0844,16,16,11.0,2.0,2.0,7.0,3.0,34.2,60.0,1007.8,3.3,Tốt
2025-05-08 11:00:00,"Hà Nội/TT giao lưu văn hóa phố cổ - Hoàn Kiếm, Vietnam",21.035584,105.852771,68,68,27.0,0.1,22.8,,,33.5,70.5,1003.5,3.0,Trung bình
2025-05-08 12:00:00,"Hà Nội/Chi cục BVMT, Vietnam",21.01525,105.80013,104,104,,0.1,,,,33.0,70.0,1003.0,3.6,Không tốt cho nhóm nhạy cảm
2025-05-08 12:00:00,"Bắc Ninh/UBND_xã Xuân Lâm, Vietnam",21.0243474,106.0172877,129,129,74.0,2.0,,134.0,,33.0,70.0,1003.0,3.6,Không tốt cho nhóm nhạy cảm
2025-05-08 12:00:00,"Hà Nội/UBND xã An Khánh - Hoài Đức, Vietnam",21.002383,105.718038,79,79,27.0,0.1,10.8,,,33.5,68.0,1003.0,3.6,Trung bình
2025-05-08 11:00:00,"Hà Nội/Mầm non Vân Hà – Đông Anh, Vietnam",21.148273,105.913306,81,81,29.0,0.1,5.1,,,33.5,70.5,1003.5,3.0,Trung bình
2025-05-08 12:00:00,"Bắc Ninh/Phù Xá - Văn Môn, Vietnam",21.1638526,105.9235646,11,11,9.0,1.0,,2.0,123.0,33.0,70.0,1003.0,3.6,Tốt
2025-05-08 12:00:00,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",21.593151,105.8431043,82,82,46.0,2.0,,,3.0,33.0,70.0,1003.0,3.6,Trung bình
2025-05-08 12:00:00,"Lạng Sơn/phường Chi Lăng - TP Lạng Sơn, Vietnam",21.843325,106.7506,-,16,9.0,1.0,,19.0,9.0,29.0,78.1,974.5,2.0,Không xác định
